transformer_model_name,learning_rate,freeze_encoder,use_soft_labels,batch_size,hidden_dim,activation,use_class_weights,class_weights,test_loss,test_acc_ar,test_f1_ar,test_acc_mb,test_f1_mb
sentence-transformer-trained-tweet,0.0001,True,True,64,,,True,"0.8657,1.5467,0.8345",0.4799831807613373,0.710374653339386,0.6845136284828186,0.7074927687644958,0.6773914694786072
sentence-transformer-trained-tweet,0.0001,True,True,64,,,False,,0.4455436170101166,0.698847234249115,0.6662421822547913,0.6916426420211792,0.6549550294876099
sentence-transformer-trained-tweet,0.001,True,True,64,,,True,"0.8657,1.5467,0.8345",0.3702225983142853,0.7780979871749878,0.7734938859939575,0.7680115103721619,0.7623703479766846
sentence-transformer-trained-tweet,0.001,True,True,64,,,False,,0.34654369950294495,0.7809798121452332,0.7763145565986633,0.7795389294624329,0.7737228870391846
sentence-transformer-trained-tweet,0.005,True,True,64,,,True,"0.8657,1.5467,0.8345",0.360441654920578,0.7925072312355042,0.7886713743209839,0.7853025794029236,0.7803581357002258
sentence-transformer-trained-tweet,0.005,True,True,64,,,False,,0.3352982699871063,0.7838616967201233,0.7805619239807129,0.7752161622047424,0.7714362740516663
sentence-transformer-trained-tweet,0.01,True,True,64,,,True,"0.8657,1.5467,0.8345",0.35663238167762756,0.7853025794029236,0.7829180955886841,0.7853025794029236,0.7823650240898132
sentence-transformer-trained-tweet,0.01,True,True,64,,,False,,0.335060179233551,0.7910662889480591,0.7881839871406555,0.7867435216903687,0.7832605242729187
sentence-transformer-trained-tweet,0.0001,True,False,64,,,True,"0.8657,1.5467,0.8345",0.6704567074775696,0.7334293723106384,0.7345490455627441,0.7276657223701477,0.729094386100769
sentence-transformer-trained-tweet,0.0001,True,False,64,,,False,,0.6572697162628174,0.7319884896278381,0.7206592559814453,0.7247838377952576,0.711005687713623
sentence-transformer-trained-tweet,0.001,True,False,64,,,True,"0.8657,1.5467,0.8345",0.5490790009498596,0.7809798121452332,0.781883716583252,0.7723342776298523,0.7729865312576294
sentence-transformer-trained-tweet,0.001,True,False,64,,,False,,0.5347493886947632,0.7939481139183044,0.7914501428604126,0.7723342776298523,0.7689897418022156
sentence-transformer-trained-tweet,0.005,True,False,64,,,True,"0.8657,1.5467,0.8345",0.5487282276153564,0.7550432085990906,0.7549113035202026,0.7507204413414001,0.7508692145347595
sentence-transformer-trained-tweet,0.005,True,False,64,,,False,,0.5352230668067932,0.7680115103721619,0.7615227103233337,0.7550432085990906,0.7475513219833374
sentence-transformer-trained-tweet,0.01,True,False,64,,,True,"0.8657,1.5467,0.8345",0.5744664072990417,0.7651296854019165,0.7631363868713379,0.7507204413414001,0.7488074898719788
sentence-transformer-trained-tweet,0.01,True,False,64,,,False,,0.5441382527351379,0.7723342776298523,0.771791398525238,0.7550432085990906,0.7542956471443176
